,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
102,MKTX.OQ,2012-07-31T00:00:00Z,13.438438439698,1126289880.7,30.22
103,MKTX.OQ,2012-08-31T00:00:00Z,8.13808290908211,1213873640.45,32.57
104,MKTX.OQ,2012-09-28T00:00:00Z,-2.49922863104155,1178094742.85,31.6
105,MKTX.OQ,2012-10-31T00:00:00Z,-1.1392405044094,1164304959.39999,31.24
106,MKTX.OQ,2012-11-30T00:00:00Z,-0.097806035288406,1150878181.5,30.86
107,MKTX.OQ,2012-12-31T00:00:00Z,19.0013892798532,1316461432.5,35.3
108,MKTX.OQ,2013-01-31T00:00:00Z,7.11048158792058,1410068180.25,37.81
109,MKTX.OQ,2013-02-28T00:00:00Z,4.40581659660064,1460057956.56,39.06
110,MKTX.OQ,2013-03-28T00:00:00Z,-4.50588837871845,1394269374.8,37.3
111,MKTX.OQ,2013-04-30T00:00:00Z,13.4584450399979,1587264246.08,42.32
112,MKTX.OQ,2013-05-31T00:00:00Z,2.76295936654265,1626270739.84,43.36
113,MKTX.OQ,2013-06-28T00:00:00Z,6.34667879732942,1753416907.0,46.75
114,MKTX.OQ,2013-07-31T00:00:00Z,10.5882352950363,1941953642.2,51.7
115,MKTX.OQ,2013-08-30T00:00:00Z,-1.57644628201216,1906645394.15999,50.76
116,MKTX.OQ,2013-09-30T00:00:00Z,18.2821118988892,2251990109.564,60.04
117,MKTX.OQ,2013-10-31T00:00:00Z,8.6442371750225,2454359635.2,65.23
118,MKTX.OQ,2013-11-29T00:00:00Z,7.71295786512354,2647758508.8,70.37
119,MKTX.OQ,2013-12-31T00:00:00Z,-4.97371039026159,2518248990.72,66.87
120,MKTX.OQ,2014-01-31T00:00:00Z,-6.176162705176,2360670297.6,62.74
121,MKTX.OQ,2014-02-28T00:00:00Z,-3.80830116627914,2231160448.32,59.04
122,MKTX.OQ,2014-03-31T00:00:00Z,0.3048780499042,2237962766.75999,59.22
123,MKTX.OQ,2014-04-30T00:00:00Z,-7.08742886807899,2030444022.46,53.88
124,MKTX.OQ,2014-05-30T00:00:00Z,-0.691906576804136,2012338632.7,53.35
125,MKTX.OQ,2014-06-30T00:00:00Z,1.33083411623083,2039119521.72,54.06
126,MKTX.OQ,2014-07-31T00:00:00Z,4.01405845377856,2108964348.05,56.23
127,MKTX.OQ,2014-08-29T00:00:00Z,5.0836805049425,2209855582.2,58.92
128,MKTX.OQ,2014-09-30T00:00:00Z,4.98981669983294,2320123325.1,61.86
129,MKTX.OQ,2014-10-31T00:00:00Z,4.51018428851666,2416514529.75,64.65
130,MKTX.OQ,2014-11-28T00:00:00Z,2.3376577995216,2450902671.54999,65.57
131,MKTX.OQ,2014-12-31T00:00:00Z,9.36403843033269,2680406139.64999,71.71
132,MKTX.OQ,2015-01-30T00:00:00Z,5.94059406015477,2839638187.55,75.97
133,MKTX.OQ,2015-02-27T00:00:00Z,8.91030578181717,2971373662.95,79.59
134,MKTX.OQ,2015-03-31T00:00:00Z,4.15881392188857,3094947564.5,82.9
135,MKTX.OQ,2015-04-30T00:00:00Z,-0.717011680829038,3204135251.39999,85.85
136,MKTX.OQ,2015-05-29T00:00:00Z,3.27590558832138,3301173709.8,88.45
137,MKTX.OQ,2015-06-30T00:00:00Z,4.88411531769493,3462406840.68,92.77
138,MKTX.OQ,2015-07-31T00:00:00Z,5.42201142557386,3647769436.79999,97.8
139,MKTX.OQ,2015-08-31T00:00:00Z,-7.35530685106666,3372508307.52,90.42
140,MKTX.OQ,2015-09-30T00:00:00Z,1.56369600946134,3464262017.27999,92.88
141,MKTX.OQ,2015-10-30T00:00:00Z,9.0762273936654,3778026280.71,101.31
142,MKTX.OQ,2015-11-30T00:00:00Z,5.61219738899697,3982012103.98,106.78
143,MKTX.OQ,2015-12-31T00:00:00Z,4.50458887548495,4161385378.19,111.59
144,MKTX.OQ,2016-01-29T00:00:00Z,4.15807867801063,4334419056.43,116.23
145,MKTX.OQ,2016-02-29T00:00:00Z,2.16630864824703,4444917126.9,118.46
146,MKTX.OQ,2016-03-31T00:00:00Z,5.37734256311477,4683935547.45,124.83
147,MKTX.OQ,2016-04-29T00:00:00Z,-0.695680311538571,4611358481.4,122.76
148,MKTX.OQ,2016-05-31T00:00:00Z,14.2279414254611,5256708259.1,139.94
149,MKTX.OQ,2016-06-30T00:00:00Z,3.42865272595649,5461807781.0,145.4
150,MKTX.OQ,2016-07-29T00:00:00Z,11.1829436022004,6082852758.7,161.66
151,MKTX.OQ,2016-08-31T00:00:00Z,4.42375020798667,6341729580.29999,168.54
152,MKTX.OQ,2016-09-30T00:00:00Z,-1.98295252901741,6230728617.55,165.59
153,MKTX.OQ,2016-10-31T00:00:00Z,-8.95585482157182,5665507732.48,150.76
154,MKTX.OQ,2016-11-30T00:00:00Z,10.6051288084731,6229578248.96,165.77
